[ 2026-03-21 21:33:51,754 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-21 21:33:54,087 ] 63 root - INFO - Performed train test split on the dataframe
[ 2026-03-21 21:33:54,088 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-21 21:33:54,088 ] 73 root - INFO - Exporting train and test file path.
[ 2026-03-21 21:33:54,117 ] 82 root - INFO - Exported train and test file path.
[ 2026-03-21 21:33:54,117 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-21 21:33:54,120 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-21 21:33:54,131 ] 32 root - INFO - Required number of columns:2
[ 2026-03-21 21:33:54,131 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-21 21:33:54,131 ] 32 root - INFO - Required number of columns:2
[ 2026-03-21 21:33:54,131 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-21 21:33:54,224 ] 28 root - INFO - data Validation Completed
[ 2026-03-21 21:33:54,224 ] 31 root - INFO - data Transformation started
[ 2026-03-21 21:33:54,224 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-21 21:33:54,224 ] 65 root - INFO - Starting data transformation
[ 2026-03-21 21:33:54,245 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-21 21:33:54,245 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-21 21:33:54,253 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-21 21:33:54,257 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-21 21:33:54,257 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-21 21:33:54,261 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-21 21:33:54,261 ] 35 root - INFO - data Transformation completed
[ 2026-03-21 21:33:54,261 ] 37 root - INFO - Model Training sstared
[ 2026-03-21 21:36:47,792 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-21 21:36:47,793 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-21 21:36:47,793 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-21 21:36:47,828 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-21 21:36:47,828 ] 150 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/03_21_2026_21_33_49/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9917657822506862, precision_score=0.9916649725553974, recall_score=0.9918666124440829), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9725141471301536, precision_score=0.974089068825911, recall_score=0.9709443099273608))
[ 2026-03-21 21:36:47,835 ] 42 root - INFO - Model Training artifact created
