[ 2026-03-21 21:28:42,759 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-21 21:28:45,125 ] 63 root - INFO - Performed train test split on the dataframe
[ 2026-03-21 21:28:45,125 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-21 21:28:45,125 ] 73 root - INFO - Exporting train and test file path.
[ 2026-03-21 21:28:45,152 ] 82 root - INFO - Exported train and test file path.
[ 2026-03-21 21:28:45,152 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-21 21:28:45,156 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-21 21:28:45,165 ] 32 root - INFO - Required number of columns:2
[ 2026-03-21 21:28:45,165 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-21 21:28:45,165 ] 32 root - INFO - Required number of columns:2
[ 2026-03-21 21:28:45,165 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-21 21:28:45,304 ] 28 root - INFO - data Validation Completed
[ 2026-03-21 21:28:45,307 ] 31 root - INFO - data Transformation started
[ 2026-03-21 21:28:45,307 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-21 21:28:45,307 ] 65 root - INFO - Starting data transformation
[ 2026-03-21 21:28:45,360 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-21 21:28:45,360 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-21 21:28:45,370 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-21 21:28:45,374 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-21 21:28:45,374 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-21 21:28:45,376 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-21 21:28:45,377 ] 35 root - INFO - data Transformation completed
[ 2026-03-21 21:28:45,377 ] 37 root - INFO - Model Training sstared
