[ 2026-03-21 21:43:57,711 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-21 21:44:00,104 ] 63 root - INFO - Performed train test split on the dataframe
[ 2026-03-21 21:44:00,105 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-21 21:44:00,105 ] 73 root - INFO - Exporting train and test file path.
[ 2026-03-21 21:44:00,132 ] 82 root - INFO - Exported train and test file path.
[ 2026-03-21 21:44:00,132 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-21 21:44:00,136 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-21 21:44:00,147 ] 32 root - INFO - Required number of columns:2
[ 2026-03-21 21:44:00,147 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-21 21:44:00,147 ] 32 root - INFO - Required number of columns:2
[ 2026-03-21 21:44:00,147 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-21 21:44:00,332 ] 28 root - INFO - data Validation Completed
[ 2026-03-21 21:44:00,332 ] 31 root - INFO - data Transformation started
[ 2026-03-21 21:44:00,332 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-21 21:44:00,332 ] 65 root - INFO - Starting data transformation
[ 2026-03-21 21:44:00,352 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-21 21:44:00,352 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-21 21:44:00,367 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-21 21:44:00,374 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-21 21:44:00,374 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-21 21:44:00,379 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-21 21:44:00,381 ] 35 root - INFO - data Transformation completed
[ 2026-03-21 21:44:00,381 ] 37 root - INFO - Model Training sstared
[ 2026-03-21 21:49:11,853 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-21 21:49:11,854 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-21 21:49:11,855 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-21 21:49:11,899 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-21 21:49:11,899 ] 150 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/03_21_2026_21_43_55/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.990810700428834, precision_score=0.9863793453954056, recall_score=0.9952820512820513), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9741412582014666, precision_score=0.9640947288006112, recall_score=0.984399375975039))
[ 2026-03-21 21:49:11,904 ] 42 root - INFO - Model Training artifact created
