[ 2026-03-21 22:03:14,359 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2026-03-21 22:03:15,666 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2026-03-21 22:03:16,025 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-03-21 22:03:16,036 ] 107 dagshub - INFO - Accessing as darshanintech
[ 2026-03-21 22:03:17,324 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/darshanintech/MLOPS-Network_Security "HTTP/1.1 200 OK"
[ 2026-03-21 22:03:17,682 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-03-21 22:03:17,685 ] 107 dagshub - INFO - Initialized MLflow to track repo "darshanintech/MLOPS-Network_Security"
[ 2026-03-21 22:03:17,685 ] 107 dagshub - INFO - Repository darshanintech/MLOPS-Network_Security initialized!
[ 2026-03-21 22:03:17,687 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-21 22:03:20,664 ] 63 root - INFO - Performed train test split on the dataframe
[ 2026-03-21 22:03:20,665 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-21 22:03:20,665 ] 73 root - INFO - Exporting train and test file path.
[ 2026-03-21 22:03:20,697 ] 82 root - INFO - Exported train and test file path.
[ 2026-03-21 22:03:20,697 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-21 22:03:20,701 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-21 22:03:20,719 ] 32 root - INFO - Required number of columns:2
[ 2026-03-21 22:03:20,719 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-21 22:03:20,719 ] 32 root - INFO - Required number of columns:2
[ 2026-03-21 22:03:20,719 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-21 22:03:20,833 ] 28 root - INFO - data Validation Completed
[ 2026-03-21 22:03:20,834 ] 31 root - INFO - data Transformation started
[ 2026-03-21 22:03:20,834 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-21 22:03:20,834 ] 65 root - INFO - Starting data transformation
[ 2026-03-21 22:03:20,845 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-21 22:03:20,845 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-21 22:03:20,866 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-21 22:03:20,873 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-21 22:03:20,873 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-21 22:03:20,881 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-21 22:03:20,881 ] 35 root - INFO - data Transformation completed
[ 2026-03-21 22:03:20,881 ] 37 root - INFO - Model Training sstared
[ 2026-03-21 22:06:10,811 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-21 22:06:10,812 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-21 22:06:10,812 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-21 22:06:10,827 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-21 22:06:10,828 ] 152 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/03_21_2026_22_02_31/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.991494532199271, precision_score=0.9900910010111224, recall_score=0.9929020482660718), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9736522091609242, precision_score=0.967767929089444, recall_score=0.9796084828711256))
[ 2026-03-21 22:06:10,833 ] 42 root - INFO - Model Training artifact created
